trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
125,False,"{'a': 0.4, 'e': 0.3230031893955402}",20,2,-98.79716272893775,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 2}",1
126,False,"{'a': 0.4, 'e': 0.3200961606909803}",25,11,-14.566147343855633,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.4, 'e': 0.31721529524476144}",20,6,0.6759823945780634,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.3143603575875586}",20,16,7.600667407845434,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.31153111436927056}",30,11,-58.73513694570614,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 1}",1
130,False,"{'a': 0.4, 'e': 0.30872733433994715}",20,6,18.40276253335044,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.3059487883308876}",30,15,27.162934690992866,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.4, 'e': 0.3031952492359096}",35,6,-2.3772387578132697,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.4, 'e': 0.3004664919927864}",20,2,-65.61266510970484,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
134,False,"{'a': 0.4, 'e': 0.29776229356485134}",20,0,3.95003071946366,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.4, 'e': 0.2950824329227677}",20,0,4.818188376410425,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.2924266910264628}",20,10,17.71232949074233,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4, 'e': 0.2897948508072246}",20,12,12.169807367795858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.4, 'e': 0.2871866971499596}",20,0,7.4022042233007745,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.4, 'e': 0.28460201687560993}",25,15,-6.629004408001338,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.4, 'e': 0.28204059872372944}",30,10,-3.0037094365501096,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.4, 'e': 0.2795022333352159}",20,6,19.125523257189137,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.27698671323519897}",20,8,-6.445679182039419,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.2744938328160822}",20,2,-1.0374989479460757,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
