trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-7.425160577003352,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,8,11.056995316275323,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,8,-34.88867595670467,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,6,15.346751540661948,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,4,18.915672236885406,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-16.508736216118283,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,2,-18.012295936584188,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,9,-23.340214957242544,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,8.59398028304393,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",30,17,17.631273685477918,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,0,5.063937427974213,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,13,13.648432501398833,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,0,-24.240643847117383,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,13,0.042786539373432575,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,0,-5.3620089171631236,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,3,-14.074947189701145,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",30,16,17.90602181079237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,6,16.51670633684454,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,0,-54.73923076217358,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",35,25,14.564026081109635,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,12,2.5377181785401217,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,11,16.362831539023603,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,9,13.980579342265788,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,11,16.534537923670104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,18,-17.708737970624966,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",35,22,-15.968988718158824,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,12,13.07039276909792,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,10,3.299790287363153,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",35,24,7.847877972515074,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,14,10.279571010840403,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,17,-17.43941866394602,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",25,3,13.111869648083543,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,15,-20.802896349162275,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",20,16,8.430942028754131,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",20,0,8.729146171706633,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",25,18,13.155103171378393,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",20,14,-0.391550319397699,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",25,18,14.043607194820531,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,13,2.084942280689697,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,12,-28.23334964255357,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,13,22.12072345376248,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,16,8.539439316469906,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,11,8.16020512134111,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",25,13,21.73054048658393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,9,5.394477424188872,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,18,0.527260788823833,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,9,18.724178033642104,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,0,13.595415774115175,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",30,8,30.08939583651875,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,17,-10.98607996497936,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",25,0,3.088770345755669,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",20,11,1.5780867034502242,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",25,10,26.824434378280344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",25,3,39.15911203123906,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,3,8.964329547431202,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",20,8,28.061530151427906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,11,-39.02267170497605,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",20,7,23.503827455994017,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,9,16.836696264014183,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",30,12,-13.099783147715371,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,12,15.007164035114737,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",25,14,20.745770631833917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",20,0,-70.15608136902195,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
191,False,"{'a': 0.5, 'e': 0.04499999999999918}",20,0,-61.75884625171885,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.03999999999999918}",25,0,-266.2817702685855,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
193,False,"{'a': 0.5, 'e': 0.034999999999999185}",20,8,-48.78114687983105,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.029999999999999184}",25,0,-156.32921812493535,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
