trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.4, 'e': 0.2795022333352159}",25,17,16.71933504043235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.4, 'e': 0.27698671323519897}",25,11,-8.144774897717888,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.4, 'e': 0.2744938328160822}",20,0,3.3528259943069614,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
144,False,"{'a': 0.4, 'e': 0.27202338832073747}",20,0,27.704726187476915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.4, 'e': 0.26957517782585083}",20,1,25.720700187167644,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.4, 'e': 0.2671490012254182}",20,6,-1.530156283388549,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
147,False,"{'a': 0.4, 'e': 0.2647446602143894}",20,10,18.708875220069565,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4, 'e': 0.2623619582724599}",25,10,24.43614058573932,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.4, 'e': 0.26000070064800773}",25,12,13.792864162625175,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.4, 'e': 0.25766069434217564}",30,5,-29.713268815787302,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.4, 'e': 0.25534174809309607}",20,12,-28.174320399962728,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
152,False,"{'a': 0.4, 'e': 0.2530436723602582}",20,4,0.476549273804298,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.4, 'e': 0.2507662793090159}",25,5,-14.439095749202398,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.4, 'e': 0.24850938279523477}",20,5,-26.76478370492421,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.4, 'e': 0.24627279835007765}",20,5,15.607825276585245,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4, 'e': 0.24405634316492694}",25,14,-1.1070977404834421,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.4, 'e': 0.2418598360764426}",30,4,26.797207972420644,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.4, 'e': 0.23968309755175463}",20,12,16.10958250999207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4, 'e': 0.23752594967378884}",25,15,3.3108072301974487,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.4, 'e': 0.23538821612672475}",30,8,40.25402732648379,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.4, 'e': 0.23326972218158423}",20,14,13.549144137209023,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4, 'e': 0.23117029468194997}",20,7,13.418670807773555,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.4, 'e': 0.2290897620298124}",20,8,7.173556492925738,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.4, 'e': 0.2270279541715441}",25,10,-46.37418303342541,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
